created_at,full_text,hashtags,user_mentions
tue jun 02 15:35:53 +0000 2020, rt rt por si borran el video 🙏 anonymuos casablanca trump nostradamus estadosunidos nomastrump anonymous georgefloyd…,"anonymuos,casablanca,trump,nostradamus,estadosunidos,nomastrump,anonymous",chavismoypaz
tue jun 02 15:35:53 +0000 2020, rt petti exclusive the trump admin says not secure freedom american prisoner michael white releasing ir…,trump,matthew_petti
tue jun 02 15:35:54 +0000 2020, rt a trump le están dando un golpe de estado trump está respondiendo como cualquier líder respònsable que protege su pue…,trump,omarbula
tue jun 02 15:35:54 +0000 2020, rt notate la differenza io non la vedo salvini trump,"salvini,trump",liamvoice_
tue jun 02 15:35:54 +0000 2020, the way police works us nothing come europe lol now snowflakes realize🤣🤣🤣 maga2020 trump,"maga2020,trump",
tue jun 02 15:35:54 +0000 2020, trump,trump,
tue jun 02 15:35:54 +0000 2020, rt 13 btw talk trump links epstein maxwell b…,"trump,epstein,maxwell","snipper_13,therealholli,realedwardszall,trunews,realedwardszall"
tue jun 02 15:35:55 +0000 2020, this anonymous blacklivesmatter donaldtrump casablanca anonymousisback,"anonymous,blacklivesmatter,donaldtrump,casablanca,anonymousisback",
tue jun 02 15:35:55 +0000 2020, rt ks americaortrump police ease protest instead using violence americans trump anom…,"americaortrump,trump",kinsilee_ks
tue jun 02 15:35:56 +0000 2020, άντε να κάνει την αρχή με τούς αντιφα ο πρόεδρος τραμπ trump και εν συνεχεία και τα άλλα κράτη να ξεβρομίσει ο…,"αντιφα,τραμπ,trump",
tue jun 02 15:35:56 +0000 2020, rt fast poll day what one word would use describe trump this poll ends tonight please vote retwe…,"poll,trump",corporatepiggie
tue jun 02 15:35:56 +0000 2020, trumpet donaldtrump india russia g7summit trump's bid counter china invite india russia g7…,"donaldtrump,india,russia,g7summit",
tue jun 02 15:35:56 +0000 2020, rt lindner immer wenn man denkt trump kann es nicht noch schlimmer machen wird man eines besseren belehrt den usa wünschen wir ve…,"trump,usa",c_lindner
tue jun 02 15:35:57 +0000 2020, burgessct opinion the arsonist white house burgessct trump via,trump,burgessct
tue jun 02 15:35:57 +0000 2020, trump heeft vast alle dvd's hitler bekeken dictatortrump…,"trump,hitler,dictatortrump","elskekevie25,lipsiaan,drgamsterdam,bijan63"
tue jun 02 15:35:57 +0000 2020, trump heeft vast alle dvd's hitler bekeken dictatortrump…,"trump,hitler,dictatortrump","elskekevie25,lipsiaan,drgamsterdam,bijan63"
tue jun 02 15:35:58 +0000 2020, rt trump tweets yesterday new york lost looters thugs radical left forms lowlife amp sc…,trump,thelaughmakers
tue jun 02 15:35:59 +0000 2020, thank like pope said trump not christian ✝️,trump,jamesmartinsj
tue jun 02 15:35:59 +0000 2020, rt us präsident donald trump hat sich einem bunker im weißen haus vor protesten geschützt der richtige ort für seine unter…,trump,heuteshow
tue jun 02 15:35:59 +0000 2020, what presidenttrump amp nazis germany ww2 similar …,"presidenttrump,nazis,germany,ww2","errolwebber,realdonaldtrump"
tue jun 02 15:36:00 +0000 2020, rt what hunger games soundtrack going trump disgraceful trumpdictatorship remember he…,"trump,disgraceful,trumpdictatorship","holekeys,realdonaldtrump"
tue jun 02 15:36:00 +0000 2020, rt what hunger games soundtrack going trump disgraceful trumpdictatorship remember he…,"trump,disgraceful,trumpdictatorship","holekeys,realdonaldtrump"
tue jun 02 15:36:00 +0000 2020, rt trump violates constitution say,trump,"jamesnorth7,senatorcollins"
tue jun 02 15:36:00 +0000 2020, rt 🇺🇸 usariots contrairement aux antifas trump des couilles après un discours historique méprisant émeutiers et pillards …,"usariots,antifas,trump",g0rille
tue jun 02 15:36:01 +0000 2020, rt 2h12 twitter font que de supprimer ces photos partager à fond si je saute c’est pour la bonne cause trump anonymous black live…,"trump,anonymous",_2h12
tue jun 02 15:36:02 +0000 2020, rt no nos callamos más somos una legión anonymous donaldtrump dcsafe,"anonymous,donaldtrump,dcsafe",babbloodblod
tue jun 02 15:36:02 +0000 2020, georgeflyod trump anonymous palestinelivesmatter,"georgeflyod,trump,anonymous,palestinelivesmatter",
tue jun 02 15:36:03 +0000 2020, rt ya que trump está escondido guaidocomplicedejj se autoproclama presidente de eeuu 😁😁,"trump,guaidocomplicedejj,eeuu",guajiritasoy
tue jun 02 15:36:03 +0000 2020, 1807 law is center trump's newest move,"center,trump,newest",
tue jun 02 15:36:04 +0000 2020, rt 1309 es la biblia trump finalmente saco la death note 🤔 bible donaldtrump,"bible,donaldtrump",joss_1309
tue jun 02 15:36:04 +0000 2020, people concerned trump holding bible opposed rioters looters destroying county assclowns,"trump,assclowns",
tue jun 02 15:36:05 +0000 2020, rt cops become fukkn animals trump who become humiliated whimpering bunkerbitch,"trump,bunkerbitch",tonypapa9
tue jun 02 15:36:05 +0000 2020, trump hillaryemails hillaryclinton qanons,"trump,hillaryemails,hillaryclinton,qanons",
tue jun 02 15:36:05 +0000 2020, i want our maga rallies back if these people can riot amp destroy our country amp joebiden can go o…,"maga,joebiden",realdonaldtrump
tue jun 02 15:36:06 +0000 2020, bullets trumpdictatorship 105 192 americans dead covid19 6 02 20 “it’s going disappear one day it’s l…,"trumpdictatorship,covid19",
tue jun 02 15:36:10 +0000 2020, polis şefinden trump'a çeneni kapat! abd trump cnn reuters georgefloyd protesto…,"abd,trump,cnn,reuters,georgefloyd,protesto",
tue jun 02 15:36:10 +0000 2020, polis şefinden trump'a çeneni kapat! abd trump cnn reuters georgefloyd protesto…,"abd,trump,cnn,reuters,georgefloyd,protesto",
tue jun 02 15:36:10 +0000 2020, rt drawing stuff new little trump sketch warm illustration,"trump,sketch,illustration",sahreports
tue jun 02 15:36:11 +0000 2020, how no one states done jfk taken trump yet trump,trump,
tue jun 02 15:36:11 +0000 2020, rt please enjoy tuesday's donaldtrump cartoon blm bunkerdon,"donaldtrump,blm,bunkerdon","theomoudakis,torontostar"
tue jun 02 15:36:11 +0000 2020, rt please enjoy tuesday's donaldtrump cartoon blm bunkerdon,"donaldtrump,blm,bunkerdon","theomoudakis,torontostar"
tue jun 02 15:36:13 +0000 2020, stjohnschurch stjohns trump gop,"stjohnschurch,stjohns,trump,gop",
tue jun 02 15:36:13 +0000 2020, latest opinionpolls show joebiden beating donaldtrump comfortable margin 5 months go things could chan…,"opinionpolls,joebiden,donaldtrump",
tue jun 02 15:36:14 +0000 2020, rt is military coup taking place united states insurrectionact georgefloyd protests2020 trump,"insurrectionact,georgefloyd,protests2020,trump",ericlondonsep
tue jun 02 15:36:14 +0000 2020, rt is military coup taking place united states insurrectionact georgefloyd protests2020 trump,"insurrectionact,georgefloyd,protests2020,trump",ericlondonsep
tue jun 02 15:36:14 +0000 2020, rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",anonnotices2020
tue jun 02 15:36:14 +0000 2020, rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",anonnotices2020
tue jun 02 15:36:14 +0000 2020, rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",anonnotices2020
tue jun 02 15:36:14 +0000 2020, rt miga president trump great man president trump true patriot all patriots around world lov…,"president,trump,patriot","vendetta_miga,speakerpelosi"
tue jun 02 15:36:14 +0000 2020, rt then bunkerboy better buckle cuz i’m not finished mocking yet,bunkerboy,instantkarma23
tue jun 02 15:36:15 +0000 2020, rt 🍕 epstein trump,"epstein,trump",tdloculto
